,number,value,datetime_start,datetime_complete,duration,params_T_max,params_batch_size,params_beta1,params_beta2,params_epochs,params_eta_min,params_factor,params_gamma,params_lr,params_max_lr,params_momentum,params_optimizer,params_patience,params_preweight_mode,params_scheduler,params_step_size,params_weight_decay,state
22,22,0.4560544788837433,2025-01-26 21:23:55.209452,2025-01-26 21:24:47.682900,0 days 00:00:52.473448,15.0,5,0.8536930366707842,0.9186325785539378,10,1.6518957629912504e-07,,,0.0003875273131590453,,,Adam,,fine_tuning,CosineAnnealingLR,,,COMPLETE
23,23,0.48013389110565186,2025-01-26 21:24:47.700388,2025-01-26 21:26:09.552046,0 days 00:01:21.851658,13.0,5,0.8469295820557202,0.9463311404235408,16,1.236212124113362e-06,,,0.0016923021019144642,,,Adam,,fine_tuning,CosineAnnealingLR,,,COMPLETE
24,24,0.46955960988998413,2025-01-26 21:26:09.569239,2025-01-26 21:27:40.238406,0 days 00:01:30.669167,13.0,4,0.8337248076164896,0.9479751708243009,16,1.4714641261685808e-06,,,0.0017350295202041715,,,Adam,,fine_tuning,CosineAnnealingLR,,,COMPLETE
25,25,0.47076982259750366,2025-01-26 21:27:40.255964,2025-01-26 21:28:58.402811,0 days 00:01:18.146847,10.0,6,0.9065646407341942,0.9602286089629664,16,4.7955755153295954e-06,,,0.002654227961532903,,,Adam,,fine_tuning,CosineAnnealingLR,,,COMPLETE
26,26,0.43528714776039124,2025-01-26 21:28:58.420614,2025-01-26 21:29:49.611581,0 days 00:00:51.190967,,5,0.9585297192318942,0.9987589883175114,14,,,0.4941138117312453,0.0014873130489600043,,,Adam,,fine_tuning,StepLR,2.0,,PRUNED
27,27,0.48634710907936096,2025-01-26 21:29:49.629316,2025-01-26 21:31:18.518386,0 days 00:01:28.889070,,6,0.8911138990099644,0.9446153451306826,18,,,,0.0008276608949027664,0.009584411731951981,,Adam,,fine_tuning,OneCycleLR,,,COMPLETE
28,28,0.15421637892723083,2025-01-26 21:31:18.536203,2025-01-26 21:31:43.415962,0 days 00:00:24.879759,,7,0.8882095715826053,0.9392610681354623,18,,,,0.0008175405139229113,0.008004585776499618,,AdamW,,freezing,OneCycleLR,,0.0021484698643380058,PRUNED
29,29,0.14079494774341583,2025-01-26 21:31:43.432785,2025-01-26 21:32:13.054670,0 days 00:00:29.621885,,6,0.8389058165041977,0.9601426974902715,18,,,,0.0008372462855422009,0.0015540861617556955,,Adam,,random,OneCycleLR,,,PRUNED
30,30,0.164603129029274,2025-01-26 21:32:13.072138,2025-01-26 21:32:43.687991,0 days 00:00:30.615853,,6,0.8069109112918131,0.9166185276287738,19,,,,0.001209474425031155,0.001608481477749343,,Adam,,random,OneCycleLR,,,PRUNED
31,31,0.5010253190994263,2025-01-26 21:32:43.705329,2025-01-26 21:34:08.169617,0 days 00:01:24.464288,,5,0.9722727543924108,0.9421838077940791,16,,,,0.0029644157445611863,0.00903785536676663,,Adam,,fine_tuning,OneCycleLR,,,COMPLETE
32,32,0.4225275218486786,2025-01-26 21:34:08.187181,2025-01-26 21:34:47.117275,0 days 00:00:38.930094,,6,0.9724310582665541,0.940765344066672,16,,,,0.0056394299750537145,0.0066255575548344265,,Adam,,fine_tuning,OneCycleLR,,,PRUNED
33,33,0.4887832701206207,2025-01-26 21:34:47.134925,2025-01-26 21:36:19.040392,0 days 00:01:31.905467,,5,0.9242371170044364,0.9541641168381919,18,,,,0.002712460826026253,0.009803514012014729,,Adam,,fine_tuning,OneCycleLR,,,COMPLETE
