,number,value,datetime_start,datetime_complete,duration,params_T_max,params_batch_size,params_beta1,params_beta2,params_epochs,params_eta_min,params_factor,params_gamma,params_lr,params_max_lr,params_momentum,params_optimizer,params_patience,params_preweight_mode,params_scheduler,params_step_size,params_weight_decay,state
21,21,0.6309571266174316,2025-01-27 10:25:10.659267,2025-01-27 10:27:05.338012,0 days 00:01:54.678745,7.0,4,0.9148462919921486,0.9874143540924012,15,1.2915751431341217e-06,,,0.0006350492693480903,,,Adam,,fine_tuning,CosineAnnealingLR,,,COMPLETE
22,22,0.0,2025-01-27 10:27:05.360400,2025-01-27 10:27:46.818857,0 days 00:00:41.458457,5.0,5,0.9371930755423314,0.9979130724675431,12,1.460453488959315e-06,,,0.001717490544102587,,,Adam,,fine_tuning,CosineAnnealingLR,,,PRUNED
23,23,0.6189944744110107,2025-01-27 10:27:46.835938,2025-01-27 10:29:34.096713,0 days 00:01:47.260775,7.0,4,0.8795485914779264,0.9848891421495745,14,3.015959517012679e-06,,,0.0001648027133055897,,,Adam,,fine_tuning,CosineAnnealingLR,,,COMPLETE
24,24,0.6207123398780823,2025-01-27 10:29:34.118708,2025-01-27 10:31:56.518170,0 days 00:02:22.399462,6.0,4,0.9274800310721563,0.9589740708222846,19,2.082338672907974e-07,,,0.000333509044226889,,,Adam,,fine_tuning,CosineAnnealingLR,,,PRUNED
25,25,0.5745380520820618,2025-01-27 10:31:56.535530,2025-01-27 10:32:49.293215,0 days 00:00:52.757685,8.0,5,0.8305076213471424,0.9857342942743461,11,4.0176308119628625e-07,,,0.0006414357254940038,,,AdamW,,fine_tuning,CosineAnnealingLR,,0.004283748457029182,PRUNED
26,26,0.0,2025-01-27 10:32:49.310372,2025-01-27 10:33:31.218915,0 days 00:00:41.908543,,4,0.953318422454151,0.9903559261538849,16,,,0.4958522289692388,0.0022245321046515504,,,AdamW,,fine_tuning,StepLR,2.0,0.004451685686905245,PRUNED
27,27,0.6183827519416809,2025-01-27 10:33:31.236228,2025-01-27 10:35:52.313018,0 days 00:02:21.076790,,5,0.9900105913551747,0.9438831537018991,19,,,,0.00018602911067223195,0.00990307626386975,,Adam,,fine_tuning,OneCycleLR,,,PRUNED
28,28,0.007150715216994286,2025-01-27 10:35:52.334488,2025-01-27 10:36:32.330823,0 days 00:00:39.996335,,4,0.8783306454071256,0.9756381062685822,14,,0.49256665240106495,,0.00010206049298651779,,,AdamW,5.0,freezing,ReduceLROnPlateau,,0.0023905761255621225,PRUNED
29,29,0.4744812548160553,2025-01-27 10:36:32.348015,2025-01-27 10:37:20.696919,0 days 00:00:48.348904,9.0,5,0.8308320340416055,0.9638368393426524,18,2.1754729888436618e-06,,,0.0003009566708659791,,,Adam,,random,CosineAnnealingLR,,,PRUNED
30,30,0.6203112006187439,2025-01-27 10:37:20.714435,2025-01-27 10:39:22.699232,0 days 00:02:01.984797,6.0,4,0.8424649709981933,0.9797128035050621,16,6.592971327518573e-07,,,0.0005319609854639868,,,Adam,,fine_tuning,CosineAnnealingLR,,,COMPLETE
31,31,0.6454586982727051,2025-01-27 10:39:22.718135,2025-01-27 10:41:19.738801,0 days 00:01:57.020666,6.0,4,0.9073359186756311,0.9910589483762591,15,1.4508027487967911e-06,,,0.000721282926313481,,,Adam,,fine_tuning,CosineAnnealingLR,,,COMPLETE
32,32,0.5734290480613708,2025-01-27 10:41:19.759321,2025-01-27 10:42:08.018551,0 days 00:00:48.259230,6.0,4,0.9184861810183848,0.9924707240831933,13,1.748555602066659e-06,,,0.000747328094866603,,,Adam,,fine_tuning,CosineAnnealingLR,,,PRUNED
33,33,0.0,2025-01-27 10:42:08.035057,2025-01-27 10:42:51.589684,0 days 00:00:43.554627,6.0,4,0.9096168137666544,0.9917722721616808,15,4.775906644563e-06,,,0.0014606583988625854,,,Adam,,fine_tuning,CosineAnnealingLR,,,PRUNED
34,34,0.5731032490730286,2025-01-27 10:42:51.606880,2025-01-27 10:43:46.320340,0 days 00:00:54.713460,,5,0.8793729397691183,0.9806154656554192,12,,,0.45296513885327705,0.0009300769803652236,,,Adam,,fine_tuning,StepLR,2.0,,PRUNED
35,35,0.5452044010162354,2025-01-27 10:43:46.340520,2025-01-27 10:44:41.688380,0 days 00:00:55.347860,5.0,4,0.9455314170708646,0.9988755948055906,14,2.120065457984413e-07,,,0.00013490299412555884,,,Adam,,fine_tuning,CosineAnnealingLR,,,PRUNED
36,36,0.004950494971126318,2025-01-27 10:44:41.706230,2025-01-27 10:45:20.057447,0 days 00:00:38.351217,,8,,,13,,,0.3202866588567753,0.0023756324368022397,,0.9598174113913033,RMSprop,,freezing,StepLR,3.0,0.8414820082237462,PRUNED
37,37,0.6410071849822998,2025-01-27 10:45:20.073979,2025-01-27 10:47:20.853397,0 days 00:02:00.779418,7.0,6,,,16,6.441038468683314e-07,,,0.008485326007751044,,0.9238470186393516,SGD,,fine_tuning,CosineAnnealingLR,,0.00029581961904293113,COMPLETE
38,38,0.0,2025-01-27 10:47:20.879687,2025-01-27 10:48:02.965634,0 days 00:00:42.085947,,6,,,18,,,,0.009474343651228113,0.0014325835720502796,0.9242464097805966,SGD,,random,OneCycleLR,,0.0002983194705593533,PRUNED
39,39,0.645756185054779,2025-01-27 10:48:02.983193,2025-01-27 10:50:02.308343,0 days 00:01:59.325150,,6,,,16,,0.47293999545416054,,0.009428911297070585,,0.9351869622747583,SGD,5.0,fine_tuning,ReduceLROnPlateau,,0.000370941515309663,COMPLETE
40,40,0.07629970461130142,2025-01-27 10:50:02.338867,2025-01-27 10:50:40.516871,0 days 00:00:38.178004,,6,,,16,,0.49654916076986777,,0.009672589476796136,,0.9333398062452503,SGD,5.0,freezing,ReduceLROnPlateau,,0.00023364612600066114,PRUNED
41,41,0.6588242053985596,2025-01-27 10:50:40.533352,2025-01-27 10:52:44.362530,0 days 00:02:03.829178,,6,,,17,,0.39612486462493685,,0.008440408604148783,,0.9339820467344272,SGD,4.0,fine_tuning,ReduceLROnPlateau,,0.0004239406577756143,COMPLETE
42,42,0.6325883865356445,2025-01-27 10:52:44.389190,2025-01-27 10:54:42.064497,0 days 00:01:57.675307,,6,,,16,,0.4037135756729977,,0.008569774160534532,,0.9349026942143894,SGD,4.0,fine_tuning,ReduceLROnPlateau,,0.0003185177091235104,COMPLETE
43,43,0.6572917103767395,2025-01-27 10:54:42.091669,2025-01-27 10:56:46.255609,0 days 00:02:04.163940,,6,,,17,,0.3855108194768475,,0.00758689985669769,,0.9357488350169446,SGD,5.0,fine_tuning,ReduceLROnPlateau,,0.0004890630971500707,COMPLETE
44,44,0.6257473826408386,2025-01-27 10:56:46.274058,2025-01-27 10:58:50.304871,0 days 00:02:04.030813,,6,,,17,,0.39677932506850566,,0.007472278415433388,,0.9352244683262341,SGD,5.0,fine_tuning,ReduceLROnPlateau,,0.0004454194111895915,COMPLETE
45,45,0.6574479341506958,2025-01-27 10:58:50.327308,2025-01-27 11:00:59.709603,0 days 00:02:09.382295,,6,,,18,,0.40405810529420044,,0.012909919259713926,,0.928386694708311,SGD,4.0,fine_tuning,ReduceLROnPlateau,,0.00016302361547965928,COMPLETE
46,46,0.6422573924064636,2025-01-27 11:00:59.732017,2025-01-27 11:03:07.191232,0 days 00:02:07.459215,,7,,,18,,0.39891841239665954,,0.012738859879869717,,0.9398309021345751,SGD,4.0,fine_tuning,ReduceLROnPlateau,,0.00015553544739953273,COMPLETE
47,47,0.6232922673225403,2025-01-27 11:03:07.210285,2025-01-27 11:05:11.201773,0 days 00:02:03.991488,,6,,,17,,0.4121754367286583,,0.013335731362188661,,0.9511058207476546,SGD,5.0,fine_tuning,ReduceLROnPlateau,,0.0005282307707082831,COMPLETE
48,48,0.00035360679612495005,2025-01-27 11:05:11.224195,2025-01-27 11:05:49.694172,0 days 00:00:38.469977,,7,,,17,,0.3419867826120218,,0.03371057364443904,,0.9288350062919759,SGD,4.0,freezing,ReduceLROnPlateau,,0.0001248955418031972,PRUNED
49,49,0.5097371935844421,2025-01-27 11:05:49.710481,2025-01-27 11:06:41.109380,0 days 00:00:51.398899,,8,,,18,,0.43561147823995666,,0.020277346945155376,,0.9140681931958543,SGD,3.0,fine_tuning,ReduceLROnPlateau,,0.0005746967892006813,PRUNED
50,50,0.0,2025-01-27 11:06:41.126629,2025-01-27 11:07:15.484141,0 days 00:00:34.357512,,6,,,17,,0.34261378473794724,,0.012431442961504734,,0.9424073648369422,SGD,5.0,random,ReduceLROnPlateau,,0.00018224368346039492,PRUNED
51,51,0.0,2025-01-27 11:07:15.500331,2025-01-27 11:07:49.250296,0 days 00:00:33.749965,,7,,,18,,0.44401839477836247,,0.011605496427403548,,0.9401641756180876,SGD,4.0,fine_tuning,ReduceLROnPlateau,,0.00013469822484465254,PRUNED
52,52,0.6549310088157654,2025-01-27 11:07:49.266714,2025-01-27 11:09:59.666553,0 days 00:02:10.399839,,7,,,18,,0.36015911286007546,,0.016185977784288506,,0.9304418384411784,SGD,4.0,fine_tuning,ReduceLROnPlateau,,7.618414439266333e-05,COMPLETE
53,53,0.5500631928443909,2025-01-27 11:09:59.686689,2025-01-27 11:10:45.163286,0 days 00:00:45.476597,,6,,,19,,0.3549439163417413,,0.016051974327684987,,0.9314546578457715,SGD,4.0,fine_tuning,ReduceLROnPlateau,,6.125556641615147e-05,PRUNED
54,54,0.6753758192062378,2025-01-27 11:10:45.180952,2025-01-27 11:12:50.131529,0 days 00:02:04.950577,,6,,,17,,0.36015435274082547,,0.006552112362090342,,0.9264843070708858,SGD,3.0,fine_tuning,ReduceLROnPlateau,,9.079688403050999e-05,COMPLETE
55,55,0.5854946970939636,2025-01-27 11:12:50.153075,2025-01-27 11:13:35.226750,0 days 00:00:45.073675,,6,,,17,,0.36633472459504746,,0.0067358361602144114,,0.9283733009949084,SGD,3.0,fine_tuning,ReduceLROnPlateau,,8.079445602666795e-05,PRUNED
56,56,0.6602267026901245,2025-01-27 11:13:35.244251,2025-01-27 11:15:47.297198,0 days 00:02:12.052947,,6,,,18,,0.368532978003724,,0.006965931721270305,,0.925381768024176,SGD,3.0,fine_tuning,ReduceLROnPlateau,,3.4741157654817706e-05,COMPLETE
57,57,0.6017796397209167,2025-01-27 11:15:47.317262,2025-01-27 11:17:57.353077,0 days 00:02:10.035815,,6,,,19,,0.35733316988748437,,0.006508220934683997,,0.9109387550365476,SGD,3.0,fine_tuning,ReduceLROnPlateau,,2.8208837931256308e-05,PRUNED
58,58,0.0,2025-01-27 11:17:57.370090,2025-01-27 11:18:30.524476,0 days 00:00:33.154386,,7,,,18,,0.31914737215006606,,0.005175276918067326,,0.9251795953428286,RMSprop,3.0,fine_tuning,ReduceLROnPlateau,,0.16182575501594063,PRUNED
59,59,0.5611696839332581,2025-01-27 11:18:30.544953,2025-01-27 11:19:21.605242,0 days 00:00:51.060289,,7,,,20,,0.3748051188777476,,0.019792105119625415,,0.9208930747558807,SGD,2.0,fine_tuning,ReduceLROnPlateau,,2.511280641174026e-05,PRUNED
60,60,0.22549229860305786,2025-01-27 11:19:21.622445,2025-01-27 11:20:08.367819,0 days 00:00:46.745374,,6,,,19,,0.4330172951799678,,0.006431067522727498,,0.9528759859443503,SGD,3.0,random,ReduceLROnPlateau,,8.451792780734911e-05,PRUNED
61,61,0.6314568519592285,2025-01-27 11:20:08.384836,2025-01-27 11:22:08.829441,0 days 00:02:00.444605,,6,,,17,,0.45834130528107997,,0.010494207860136932,,0.93326000652512,SGD,4.0,fine_tuning,ReduceLROnPlateau,,5.176404537352436e-05,COMPLETE
62,62,0.0,2025-01-27 11:22:08.848839,2025-01-27 11:22:42.001679,0 days 00:00:33.152840,,6,,,18,,0.26114000707068064,,0.014374888239473096,,0.9383952023037838,SGD,5.0,fine_tuning,ReduceLROnPlateau,,0.00038848888796613024,PRUNED
63,63,0.6553838849067688,2025-01-27 11:22:42.018723,2025-01-27 11:24:44.061223,0 days 00:02:02.042500,,6,,,17,,0.38614686882232585,,0.007618516727184092,,0.9296458749104363,SGD,4.0,fine_tuning,ReduceLROnPlateau,,1.6795439543418932e-05,COMPLETE
64,64,0.6577946543693542,2025-01-27 11:24:44.090553,2025-01-27 11:26:53.737028,0 days 00:02:09.646475,,6,,,18,,0.3832953600799034,,0.007653370880888095,,0.9277070775417248,SGD,4.0,fine_tuning,ReduceLROnPlateau,,1.4344337411041815e-05,COMPLETE
65,65,0.5901532769203186,2025-01-27 11:26:53.756052,2025-01-27 11:27:46.431310,0 days 00:00:52.675258,,6,,,17,,0.3855578273478577,,0.007558565973329637,,0.9273514562285899,SGD,4.0,fine_tuning,ReduceLROnPlateau,,1.1852242988807165e-05,PRUNED
66,66,0.6192516088485718,2025-01-27 11:27:46.448580,2025-01-27 11:30:06.112242,0 days 00:02:19.663662,,6,,,19,,0.4142485537325139,,0.007301183090216018,,0.9447505303727033,SGD,3.0,fine_tuning,ReduceLROnPlateau,,1.4047686480082941e-05,PRUNED
67,67,0.6454883217811584,2025-01-27 11:30:06.129959,2025-01-27 11:32:17.347322,0 days 00:02:11.217363,,6,,,18,,0.38689599581583134,,0.006068064536835849,,0.9187848061197518,SGD,4.0,fine_tuning,ReduceLROnPlateau,,1.748031945665502e-05,COMPLETE
68,68,0.0,2025-01-27 11:32:17.373653,2025-01-27 11:32:50.396220,0 days 00:00:33.022567,,6,,,17,,0.3157155599106875,,0.005404067882997618,,0.9221796026607388,RMSprop,3.0,freezing,ReduceLROnPlateau,,0.12077937713019507,PRUNED
69,69,0.0,2025-01-27 11:32:50.412416,2025-01-27 11:33:28.757071,0 days 00:00:38.344655,,6,,,16,,,,0.008200428592749559,0.00010382163547756827,0.9089039330850317,SGD,,fine_tuning,OneCycleLR,,1.99836782025856e-05,PRUNED
70,70,0.0,2025-01-27 11:33:28.772597,2025-01-27 11:34:03.641381,0 days 00:00:34.868784,,5,,,18,,,0.3452440030047152,0.007069048759405432,,0.9281281473833148,SGD,,fine_tuning,StepLR,4.0,3.65091584264487e-05,PRUNED
71,71,0.6443522572517395,2025-01-27 11:34:03.660727,2025-01-27 11:36:16.774510,0 days 00:02:13.113783,,6,,,18,,0.3772015240883843,,0.007934788825473084,,0.9284984706856483,SGD,4.0,fine_tuning,ReduceLROnPlateau,,9.991971884819197e-05,COMPLETE
72,72,0.5973755717277527,2025-01-27 11:36:16.793353,2025-01-27 11:38:22.379468,0 days 00:02:05.586115,,6,,,17,,0.3391636234582396,,0.005981850256116252,,0.9312677721261066,SGD,4.0,fine_tuning,ReduceLROnPlateau,,6.659314299871251e-05,PRUNED
73,73,0.6579264998435974,2025-01-27 11:38:22.397301,2025-01-27 11:40:36.662765,0 days 00:02:14.265464,,6,,,18,,0.2673992476442421,,0.008769501629821359,,0.9373618999384675,SGD,4.0,fine_tuning,ReduceLROnPlateau,,4.018889627267732e-05,COMPLETE
74,74,0.0,2025-01-27 11:40:36.685022,2025-01-27 11:41:11.679352,0 days 00:00:34.994330,,6,,,19,,0.26074838646119874,,0.010208189613091665,,0.9849364086639087,SGD,2.0,fine_tuning,ReduceLROnPlateau,,3.5712080401219455e-05,PRUNED
75,75,0.5889567136764526,2025-01-27 11:41:11.696567,2025-01-27 11:41:58.057443,0 days 00:00:46.360876,,6,,,17,,0.2336547535143375,,0.009044918339301709,,0.9375751407117467,SGD,4.0,fine_tuning,ReduceLROnPlateau,,1.0198431489341583e-05,PRUNED
76,76,0.5636078119277954,2025-01-27 11:41:58.072727,2025-01-27 11:42:45.180167,0 days 00:00:47.107440,,6,,,19,,0.27515938862351025,,0.010983385948155623,,0.9468877012904323,SGD,4.0,fine_tuning,ReduceLROnPlateau,,1.6128823730372885e-05,PRUNED
77,77,0.6416373252868652,2025-01-27 11:42:45.198549,2025-01-27 11:44:45.218380,0 days 00:02:00.019831,,5,,,16,,0.1918708941600759,,0.0069254400447654515,,0.9236285898457952,SGD,3.0,fine_tuning,ReduceLROnPlateau,,2.513088339766512e-05,COMPLETE
78,78,0.0,2025-01-27 11:44:45.237732,2025-01-27 11:45:20.343297,0 days 00:00:35.105565,,6,,,18,,0.4190476936802262,,0.007801497337571886,,0.9356779517120719,SGD,4.0,random,ReduceLROnPlateau,,2.0864285895898984e-05,PRUNED
79,79,0.0,2025-01-27 11:45:20.363717,2025-01-27 11:46:01.524678,0 days 00:00:41.160961,,6,,,17,,,,0.004326101600173971,0.0009159100275062124,0.9155008075737618,RMSprop,,fine_tuning,OneCycleLR,,0.10739574461283628,PRUNED
80,80,0.639187216758728,2025-01-27 11:46:01.539753,2025-01-27 11:48:14.779352,0 days 00:02:13.239599,,6,,,18,,,0.21359316140916842,0.009000150496805815,,0.9195589477094467,SGD,,fine_tuning,StepLR,3.0,3.950703298214917e-05,COMPLETE
81,81,0.5646160840988159,2025-01-27 11:48:14.805723,2025-01-27 11:49:00.311821,0 days 00:00:45.506098,,7,,,18,,0.3684317852665347,,0.01883888863797854,,0.930996139535183,SGD,4.0,fine_tuning,ReduceLROnPlateau,,4.485884015755448e-05,PRUNED
82,82,0.6374041438102722,2025-01-27 11:49:00.328659,2025-01-27 11:51:13.576846,0 days 00:02:13.248187,,6,,,18,,0.3873099038162965,,0.01485116099088247,,0.9239532249868866,SGD,4.0,fine_tuning,ReduceLROnPlateau,,0.0006830526180136691,COMPLETE
83,83,0.5518777370452881,2025-01-27 11:51:13.599640,2025-01-27 11:51:58.468938,0 days 00:00:44.869298,,7,,,17,,0.32131745889807944,,0.008583918702517741,,0.9334658437074094,SGD,4.0,fine_tuning,ReduceLROnPlateau,,0.0001063035293259423,PRUNED
84,84,0.0,2025-01-27 11:51:58.485733,2025-01-27 11:52:32.705191,0 days 00:00:34.219458,,6,,,19,,0.4028394357276291,,0.02647512052254536,,0.9421389523999764,SGD,4.0,fine_tuning,ReduceLROnPlateau,,0.0002132159186326192,PRUNED
85,85,0.6709517240524292,2025-01-27 11:52:32.721709,2025-01-27 11:54:34.126245,0 days 00:02:01.404536,,7,,,17,,0.3575624506330935,,0.006154441058681915,,0.9253976444629249,SGD,4.0,fine_tuning,ReduceLROnPlateau,,6.310050790702669e-05,COMPLETE
86,86,0.07729209214448929,2025-01-27 11:54:34.156449,2025-01-27 11:55:11.951750,0 days 00:00:37.795301,,8,,,17,,0.29149046812274815,,0.006005561957894098,,0.9254794134162605,SGD,5.0,freezing,ReduceLROnPlateau,,5.2429026583944724e-05,PRUNED
87,87,0.6426297426223755,2025-01-27 11:55:11.968009,2025-01-27 11:57:16.073719,0 days 00:02:04.105710,,5,,,17,,0.4220597588310676,,0.006438911209528528,,0.937696881109125,SGD,3.0,fine_tuning,ReduceLROnPlateau,,6.254690048444492e-05,COMPLETE
88,88,0.6486868858337402,2025-01-27 11:57:16.092643,2025-01-27 11:59:11.797624,0 days 00:01:55.704981,,6,,,16,,0.395436349025892,,0.008052711769469995,,0.9270326089985297,SGD,4.0,fine_tuning,ReduceLROnPlateau,,2.9780320473863555e-05,COMPLETE
89,89,0.6350789070129395,2025-01-27 11:59:11.823829,2025-01-27 12:01:09.668452,0 days 00:01:57.844623,,6,,,16,,0.3410991894526297,,0.007118603859210003,,0.9178626653039424,SGD,5.0,fine_tuning,ReduceLROnPlateau,,9.797554433218226e-05,COMPLETE
90,90,0.6609429121017456,2025-01-27 12:01:09.694835,2025-01-27 12:03:36.060359,0 days 00:02:26.365524,,6,,,20,,0.4025212859891799,,0.00572992770745708,,0.9330462610686364,SGD,4.0,fine_tuning,ReduceLROnPlateau,,7.034301942159962e-05,COMPLETE
91,91,0.6765016913414001,2025-01-27 12:03:36.082612,2025-01-27 12:05:38.966597,0 days 00:02:02.883985,,6,,,17,,0.3997437126341112,,0.005562807003835387,,0.9328567236871179,SGD,4.0,fine_tuning,ReduceLROnPlateau,,7.349985786517183e-05,COMPLETE
92,92,0.6563452482223511,2025-01-27 12:05:38.989191,2025-01-27 12:07:56.144150,0 days 00:02:17.154959,,6,,,19,,0.40245863663669446,,0.005685674783076737,,0.9333486963895351,SGD,4.0,fine_tuning,ReduceLROnPlateau,,6.69149781074175e-05,COMPLETE
