,number,value,datetime_start,datetime_complete,duration,params_T_max,params_batch_size,params_beta1,params_beta2,params_epochs,params_eta_min,params_factor,params_gamma,params_lr,params_max_lr,params_momentum,params_optimizer,params_patience,params_preweight_mode,params_scheduler,params_step_size,params_weight_decay,state
21,21,0.4757210612297058,2025-01-28 04:42:31.389782,2025-01-28 04:43:52.691886,0 days 00:01:21.302104,7.0,6,,,16,1.7413591259488362e-07,,,0.01097758333880567,,0.9004695376397125,SGD,,fine_tuning,CosineAnnealingLR,,1.0334682674053017e-05,COMPLETE
22,22,0.461046040058136,2025-01-28 04:43:52.710653,2025-01-28 04:45:15.282271,0 days 00:01:22.571618,6.0,6,,,16,4.55237984867345e-07,,,0.020251869864499127,,0.9149658797629809,SGD,,fine_tuning,CosineAnnealingLR,,2.613540859173006e-05,COMPLETE
23,23,0.49335259199142456,2025-01-28 04:45:15.300224,2025-01-28 04:47:03.084075,0 days 00:01:47.783851,9.0,4,,,19,2.137687738464462e-07,,,0.009192188131296535,,0.9340157790351297,SGD,,fine_tuning,CosineAnnealingLR,,1.7065274378787238e-05,COMPLETE
24,24,0.46774956583976746,2025-01-28 04:47:03.103185,2025-01-28 04:48:38.856218,0 days 00:01:35.753033,9.0,5,,,18,8.165109665728583e-07,,,0.009392836854053512,,0.9361737007864619,SGD,,fine_tuning,CosineAnnealingLR,,1.6119805381059464e-05,COMPLETE
25,25,0.4698973298072815,2025-01-28 04:48:38.878048,2025-01-28 04:49:47.810151,0 days 00:01:08.932103,9.0,8,,,14,2.419806578310417e-07,,,0.009504287332885322,,0.9150128958929914,SGD,,fine_tuning,CosineAnnealingLR,,1.853678923392077e-05,COMPLETE
26,26,0.47987401485443115,2025-01-28 04:49:47.831639,2025-01-28 04:51:07.856133,0 days 00:01:20.024494,,7,,,16,,,0.4675919867692174,0.011904597115553379,,0.9359481778657255,SGD,,fine_tuning,StepLR,2.0,1.8098673086617816e-05,COMPLETE
27,27,0.3973968029022217,2025-01-28 04:51:07.874133,2025-01-28 04:51:39.640575,0 days 00:00:31.766442,,6,,,18,,,,0.02003307641178482,0.00840808455788873,0.9119109799645333,SGD,,fine_tuning,OneCycleLR,,7.723068432219604e-05,PRUNED
28,28,0.0,2025-01-28 04:51:39.656899,2025-01-28 04:52:04.247409,0 days 00:00:24.590510,7.0,7,,,19,2.2769496862814385e-07,,,0.007830657803915233,,0.9624230773041877,SGD,,random,CosineAnnealingLR,,2.5579823188879062e-05,PRUNED
29,29,0.021727172657847404,2025-01-28 04:52:04.263456,2025-01-28 04:52:32.774792,0 days 00:00:28.511336,,5,0.9399839950073761,0.900233688460223,14,,0.49787539430701266,,0.005513962092033942,,,Adam,5.0,freezing,ReduceLROnPlateau,,,PRUNED
30,30,0.44525909423828125,2025-01-28 04:52:32.791501,2025-01-28 04:53:03.276415,0 days 00:00:30.484914,10.0,8,,,16,5.343326288291329e-07,,,0.025282834348949387,,0.9286947614776191,SGD,,fine_tuning,CosineAnnealingLR,,1.0479937070518583e-05,PRUNED
31,31,0.0,2025-01-28 04:53:03.293115,2025-01-28 04:53:34.729675,0 days 00:00:31.436560,6.0,4,0.8492336814887614,0.9475253776577823,20,1.1126042115772388e-07,,,0.005604826036344422,,,AdamW,,fine_tuning,CosineAnnealingLR,,0.001669338847083212,PRUNED
32,32,0.5019409656524658,2025-01-28 04:53:34.746180,2025-01-28 04:55:24.086235,0 days 00:01:49.340055,6.0,4,0.8078089110293484,0.9832717128674192,19,1.7025839549624324e-07,,,0.0007125361509283571,,,Adam,,fine_tuning,CosineAnnealingLR,,,COMPLETE
33,33,0.4480379521846771,2025-01-28 04:55:24.104902,2025-01-28 04:55:59.125396,0 days 00:00:35.020494,6.0,4,0.8078710881435079,0.9481284422151793,18,2.0614166020710657e-07,,,0.0006488694250138718,,,Adam,,fine_tuning,CosineAnnealingLR,,,PRUNED
34,34,0.0,2025-01-28 04:55:59.141971,2025-01-28 04:56:30.179434,0 days 00:00:31.037463,,4,0.8803425200496374,0.9827983577710743,19,,,0.4767277460648742,0.0022927216563192296,,,Adam,,fine_tuning,StepLR,2.0,,PRUNED
35,35,0.0,2025-01-28 04:56:30.195629,2025-01-28 04:56:59.687568,0 days 00:00:29.491939,8.0,5,0.935232430557091,0.9600047987562393,12,3.3960236418531693e-07,,,0.006058500164673625,,,Adam,,fine_tuning,CosineAnnealingLR,,,PRUNED
36,36,0.011881188489496708,2025-01-28 04:56:59.703998,2025-01-28 04:57:27.067688,0 days 00:00:27.363690,,6,0.9988153714155801,0.9347770739982255,17,,,0.32157922194217053,0.0006362495028689361,,,Adam,,freezing,StepLR,3.0,,PRUNED
37,37,0.0,2025-01-28 04:57:27.083558,2025-01-28 04:57:54.443147,0 days 00:00:27.359589,6.0,4,,,17,1.722731141075958e-07,,,0.03128773383458839,,0.9080612217151065,SGD,,random,CosineAnnealingLR,,1.3495320807828077e-05,PRUNED
38,38,0.0,2025-01-28 04:57:54.460167,2025-01-28 04:58:19.346093,0 days 00:00:24.885926,,6,,,15,,0.46454131174136093,,0.006989666375695275,,0.9222524082476762,RMSprop,2.0,fine_tuning,ReduceLROnPlateau,,0.16731548635429058,PRUNED
39,39,0.0,2025-01-28 04:58:19.362569,2025-01-28 04:58:41.943038,0 days 00:00:22.580469,,7,0.8291981593776415,0.9786571065775205,18,,,,0.004767697670228152,0.0010645319678528843,,Adam,,freezing,OneCycleLR,,,PRUNED
40,40,0.49927371740341187,2025-01-28 04:58:41.957595,2025-01-28 04:59:46.439266,0 days 00:01:04.481671,7.0,8,,,13,3.1372563189779926e-07,,,0.01753967104248491,,0.9382712246404127,SGD,,fine_tuning,CosineAnnealingLR,,2.3114763510793312e-05,COMPLETE
41,41,0.41890189051628113,2025-01-28 04:59:46.465586,2025-01-28 05:00:17.444209,0 days 00:00:30.978623,7.0,8,,,12,3.3061314082910383e-07,,,0.017672519642896102,,0.9376597349923569,SGD,,fine_tuning,CosineAnnealingLR,,2.8204283579117538e-05,PRUNED
42,42,0.436198890209198,2025-01-28 05:00:17.460568,2025-01-28 05:00:48.076681,0 days 00:00:30.616113,9.0,8,,,11,1.6443483805475173e-07,,,0.013618849383385999,,0.9563941701743264,SGD,,fine_tuning,CosineAnnealingLR,,1.5032104444994716e-05,PRUNED
43,43,0.45999661087989807,2025-01-28 05:00:48.093364,2025-01-28 05:01:59.556706,0 days 00:01:11.463342,6.0,7,,,14,2.763778030195003e-07,,,0.027883045977209246,,0.9389469937940558,SGD,,fine_tuning,CosineAnnealingLR,,2.1914962840892035e-05,COMPLETE
44,44,0.0,2025-01-28 05:01:59.582982,2025-01-28 05:02:23.134876,0 days 00:00:23.551894,8.0,8,,,13,6.534187123958699e-07,,,0.007868610888571125,,0.9203271919822587,RMSprop,,fine_tuning,CosineAnnealingLR,,0.10344743924046174,PRUNED
45,45,0.38129615783691406,2025-01-28 05:02:23.151228,2025-01-28 05:02:54.104557,0 days 00:00:30.953329,,7,,,13,,0.11304683403705901,,0.01718626056853254,,0.9076314447352811,SGD,5.0,fine_tuning,ReduceLROnPlateau,,4.7657676809464004e-05,PRUNED
46,46,0.0,2025-01-28 05:02:54.121263,2025-01-28 05:03:21.729359,0 days 00:00:27.608096,7.0,4,,,16,1.226086938545266e-06,,,0.03607641251921684,,0.9875703739881091,SGD,,fine_tuning,CosineAnnealingLR,,3.120234322639756e-05,PRUNED
47,47,0.024752475321292877,2025-01-28 05:03:21.744083,2025-01-28 05:03:47.922178,0 days 00:00:26.178095,,8,,,15,,,0.3415806637509752,0.021571483255905362,,0.9310145478188013,SGD,,freezing,StepLR,4.0,3.813768992467455e-05,PRUNED
48,48,0.0,2025-01-28 05:03:47.938224,2025-01-28 05:04:13.072126,0 days 00:00:25.133902,10.0,5,,,17,2.0343572677573152e-07,,,0.0036154428093524813,,0.954149536860482,RMSprop,,fine_tuning,CosineAnnealingLR,,0.1020503595426762,PRUNED
49,49,0.03394625335931778,2025-01-28 05:04:13.088221,2025-01-28 05:04:45.236337,0 days 00:00:32.148116,6.0,7,,,13,1.6446831965368075e-06,,,0.016065451286220292,,0.9441565690213667,SGD,,random,CosineAnnealingLR,,7.522777270067332e-05,PRUNED
50,50,0.17238891124725342,2025-01-28 05:04:45.251055,2025-01-28 05:05:22.067122,0 days 00:00:36.816067,12.0,4,0.9632925195990993,0.9853636438881435,19,9.826441038148834e-06,,,0.001254259885453721,,,Adam,,fine_tuning,CosineAnnealingLR,,,PRUNED
51,51,0.48648980259895325,2025-01-28 05:05:22.084064,2025-01-28 05:07:17.938056,0 days 00:01:55.853992,5.0,4,0.8457454056853049,0.990117770854599,20,1.3263179379416164e-07,,,0.00027790146499940096,,,AdamW,,fine_tuning,CosineAnnealingLR,,0.0010662115030432386,COMPLETE
52,52,0.49000564217567444,2025-01-28 05:07:17.964276,2025-01-28 05:09:12.810792,0 days 00:01:54.846516,5.0,4,0.8614488971959374,0.987329744756399,20,1.56613945749719e-07,,,0.0003074950584627465,,,AdamW,,fine_tuning,CosineAnnealingLR,,0.0010399683370286396,COMPLETE
53,53,0.44881337881088257,2025-01-28 05:09:12.831871,2025-01-28 05:09:54.094676,0 days 00:00:41.262805,5.0,4,0.8511072753891039,0.9884951830639347,20,1.3540478367203935e-07,,,0.00032955832170056184,,,AdamW,,fine_tuning,CosineAnnealingLR,,0.001072162132801414,PRUNED
54,54,0.45252859592437744,2025-01-28 05:09:54.111665,2025-01-28 05:10:29.041903,0 days 00:00:34.930238,5.0,4,0.8035119019616392,0.9701971403808752,20,1.4037320647030712e-07,,,0.00021032653183351981,,,AdamW,,fine_tuning,CosineAnnealingLR,,0.0010571897767036793,PRUNED
55,55,0.4338095784187317,2025-01-28 05:10:29.058460,2025-01-28 05:11:04.977780,0 days 00:00:35.919320,,4,0.8878931214652522,0.9907380090377044,19,,,,0.0005982232622280768,0.0015386016179599724,,AdamW,,fine_tuning,OneCycleLR,,0.0010509537032322464,PRUNED
56,56,0.43610039353370667,2025-01-28 05:11:04.992270,2025-01-28 05:11:39.922945,0 days 00:00:34.930675,5.0,4,0.8261830791622679,0.9583112578155322,20,1.0215542654458914e-07,,,0.00013319703832551747,,,AdamW,,fine_tuning,CosineAnnealingLR,,0.004158539690417195,PRUNED
57,57,0.44240179657936096,2025-01-28 05:11:39.939939,2025-01-28 05:12:13.007867,0 days 00:00:33.067928,5.0,5,0.8618445569202581,0.9763172913747927,19,5.784010254537475e-06,,,0.0004420274444971148,,,AdamW,,fine_tuning,CosineAnnealingLR,,0.0010521156097737323,PRUNED
58,58,0.3795053958892822,2025-01-28 05:12:13.024403,2025-01-28 05:12:49.095231,0 days 00:00:36.070828,,4,0.8276712821441244,0.9895649056599376,20,,0.38451535222840205,,0.0008257016663943929,,,AdamW,3.0,fine_tuning,ReduceLROnPlateau,,0.0020212973111304097,PRUNED
59,59,0.2920519709587097,2025-01-28 05:12:49.111764,2025-01-28 05:13:25.895945,0 days 00:00:36.784181,6.0,4,0.8418921179420134,0.9917880548385171,18,3.087498970676116e-07,,,0.00030022532706842366,,,AdamW,,random,CosineAnnealingLR,,0.0010437440783816298,PRUNED
60,60,0.5012649297714233,2025-01-28 05:13:25.912946,2025-01-28 05:15:15.796959,0 days 00:01:49.884013,15.0,4,0.8632919388553728,0.9702830815098136,19,4.139977515850303e-07,,,0.00020933920987423595,,,AdamW,,fine_tuning,CosineAnnealingLR,,0.004256122856551767,COMPLETE
61,61,0.4275009334087372,2025-01-28 05:15:15.823627,2025-01-28 05:15:51.348423,0 days 00:00:35.524796,14.0,4,0.8906466886044363,0.9718036240699082,19,4.5569552160503504e-07,,,0.00025346218653155266,,,AdamW,,fine_tuning,CosineAnnealingLR,,0.004564426520126982,PRUNED
62,62,0.4520891606807709,2025-01-28 05:15:51.365288,2025-01-28 05:16:26.731056,0 days 00:00:35.365768,5.0,4,0.8627701878364138,0.9830005078005101,20,3.929226414735619e-07,,,0.00014325511892328288,,,AdamW,,fine_tuning,CosineAnnealingLR,,0.005431004944699853,PRUNED
63,63,0.48447370529174805,2025-01-28 05:16:26.747723,2025-01-28 05:18:09.712579,0 days 00:01:42.964856,14.0,5,0.9019659583145119,0.9562485804017848,19,1.3723490609015427e-07,,,0.00024078973231661516,,,AdamW,,fine_tuning,CosineAnnealingLR,,0.00503973619494122,COMPLETE
64,64,0.44651028513908386,2025-01-28 05:18:09.738423,2025-01-28 05:18:43.573876,0 days 00:00:33.835453,15.0,5,0.9054317416876922,0.9591983770991699,18,1.2798197812700943e-07,,,0.00037058420116949185,,,AdamW,,fine_tuning,CosineAnnealingLR,,0.0062131010887374934,PRUNED
65,65,0.44432947039604187,2025-01-28 05:18:43.588612,2025-01-28 05:19:16.972986,0 days 00:00:33.384374,13.0,5,0.9183947072102753,0.9401503923404271,19,2.044139433800974e-07,,,0.00020976137740521633,,,AdamW,,fine_tuning,CosineAnnealingLR,,0.003579493922904345,PRUNED
66,66,0.42894259095191956,2025-01-28 05:19:16.989881,2025-01-28 05:19:52.377548,0 days 00:00:35.387667,14.0,4,0.8585655881077702,0.9528225942107049,20,1.5167143335965264e-07,,,0.0001717478857348157,,,AdamW,,fine_tuning,CosineAnnealingLR,,0.006248148663330613,PRUNED
67,67,0.441346138715744,2025-01-28 05:19:52.394100,2025-01-28 05:20:27.427313,0 days 00:00:35.033213,14.0,4,0.8927080460634785,0.9680193413633145,19,1.1817126831630256e-07,,,0.00022804215761977975,,,AdamW,,fine_tuning,CosineAnnealingLR,,0.005081501093708414,PRUNED
68,68,0.0,2025-01-28 05:20:27.443641,2025-01-28 05:20:57.539554,0 days 00:00:30.095913,,4,0.8388278026546165,0.994412722075318,20,,,,0.0005148518290684948,0.00030000856448486965,,AdamW,,freezing,OneCycleLR,,0.0033130666575234796,PRUNED
69,69,0.47189751267433167,2025-01-28 05:20:57.555862,2025-01-28 05:22:35.581456,0 days 00:01:38.025594,,5,0.8768914676180252,0.9831196876983047,18,,,0.22301575048920474,0.0008372079920998143,,,Adam,,fine_tuning,StepLR,3.0,,COMPLETE
70,70,0.44492095708847046,2025-01-28 05:22:35.607683,2025-01-28 05:23:08.958376,0 days 00:00:33.350693,11.0,5,0.8169119903214047,0.9755521657521197,11,2.5184375920233154e-07,,,0.0002928087764367269,,,AdamW,,fine_tuning,CosineAnnealingLR,,0.002633329148179395,PRUNED
71,71,0.0,2025-01-28 05:23:08.974881,2025-01-28 05:23:36.418765,0 days 00:00:27.443884,15.0,4,,,19,1.8631353831439658e-07,,,0.001717399632697077,,0.947275313427676,RMSprop,,fine_tuning,CosineAnnealingLR,,0.15583953035021286,PRUNED
72,72,0.0,2025-01-28 05:23:36.435846,2025-01-28 05:24:08.243291,0 days 00:00:31.807445,5.0,4,0.920993544059519,0.9969685784187496,19,2.8736935497980737e-07,,,0.008129486876738073,,,AdamW,,fine_tuning,CosineAnnealingLR,,0.0014567754848752701,PRUNED
73,73,0.42333853244781494,2025-01-28 05:24:08.260897,2025-01-28 05:24:43.953882,0 days 00:00:35.692985,5.0,4,,,20,5.948651246255831e-07,,,0.014078159965226189,,0.9622399283376168,SGD,,fine_tuning,CosineAnnealingLR,,0.0002206229256149199,PRUNED
74,74,0.45230796933174133,2025-01-28 05:24:43.970459,2025-01-28 05:25:21.303864,0 days 00:00:37.333405,6.0,6,0.8694116529033538,0.9641165309187917,18,1.4772543115802396e-07,,,0.00018132476743179648,,,Adam,,fine_tuning,CosineAnnealingLR,,,PRUNED
75,75,0.43484923243522644,2025-01-28 05:25:21.320705,2025-01-28 05:25:56.791050,0 days 00:00:35.470345,15.0,4,,,19,3.9536943953893276e-07,,,0.012293983502342369,,0.9313401097295355,SGD,,fine_tuning,CosineAnnealingLR,,0.0004836625389297218,PRUNED
76,76,0.3698829412460327,2025-01-28 05:25:56.807621,2025-01-28 05:26:33.316208,0 days 00:00:36.508587,6.0,4,0.8195101172987839,0.9524210924837115,20,2.3113421076424416e-07,,,0.0003640833040449494,,,AdamW,,random,CosineAnnealingLR,,0.008132294602006934,PRUNED
77,77,0.42125797271728516,2025-01-28 05:26:33.333259,2025-01-28 05:27:06.824868,0 days 00:00:33.491609,,5,,,18,,0.22078044400661923,,0.018696562459383927,,0.943710482083955,SGD,4.0,fine_tuning,ReduceLROnPlateau,,0.0006392309335001582,PRUNED
78,78,0.43499526381492615,2025-01-28 05:27:06.841419,2025-01-28 05:27:42.217683,0 days 00:00:35.376264,10.0,4,0.9042440965646147,0.9853826693009047,20,1.0462962708119061e-07,,,0.00024991666286133205,,,Adam,,fine_tuning,CosineAnnealingLR,,,PRUNED
79,79,0.019801979884505272,2025-01-28 05:27:42.232267,2025-01-28 05:28:08.878894,0 days 00:00:26.646627,11.0,8,0.882559023049541,0.9232752024623818,19,1.733560524840892e-07,,,0.006650240823381045,,,AdamW,,freezing,CosineAnnealingLR,,0.007656984231812238,PRUNED
80,80,0.0,2025-01-28 05:28:08.895260,2025-01-28 05:28:36.348471,0 days 00:00:27.453211,7.0,4,,,17,2.2761199217701187e-07,,,0.02370684600060883,,0.9542271011513879,SGD,,fine_tuning,CosineAnnealingLR,,0.0002734897143890089,PRUNED
