,number,value,datetime_start,datetime_complete,duration,params_T_max,params_batch_size,params_beta1,params_beta2,params_epochs,params_eta_min,params_factor,params_gamma,params_lr,params_max_lr,params_momentum,params_optimizer,params_patience,params_preweight_mode,params_scheduler,params_step_size,params_weight_decay,state
22,22,0.656636655330658,2025-01-28 19:34:03.609097,2025-01-28 19:38:13.962178,0 days 00:04:10.353081,,4,0.9942290457510327,0.9470973358718121,12,,,,0.00015914518209474802,0.0019041522721733853,,Adam,,fine_tuning,OneCycleLR,,,COMPLETE
23,23,0.5244317054748535,2025-01-28 19:38:13.988016,2025-01-28 19:40:40.433410,0 days 00:02:26.445394,,4,0.9985472475690118,0.9479546096952178,14,,,,0.00014487256524409745,0.002404304929598229,,Adam,,fine_tuning,OneCycleLR,,,PRUNED
24,24,0.620378851890564,2025-01-28 19:40:40.451456,2025-01-28 19:44:49.777880,0 days 00:04:09.326424,,4,0.9965896269806003,0.93334070821357,12,,,,0.0007359717372789835,0.00233088319787606,,Adam,,fine_tuning,OneCycleLR,,,COMPLETE
25,25,0.6669365763664246,2025-01-28 19:44:49.805280,2025-01-28 19:49:40.428958,0 days 00:04:50.623678,,4,0.9634396789345582,0.9177747811929413,14,,,,0.00017706784246894727,0.0018099558447350662,,Adam,,fine_tuning,OneCycleLR,,,COMPLETE
26,26,0.6347159147262573,2025-01-28 19:49:40.454562,2025-01-28 19:54:52.511215,0 days 00:05:12.056653,15.0,4,0.9586370067214258,0.9080864729338101,15,1.0048545816054478e-07,,,0.0001032788323559538,,,Adam,,fine_tuning,CosineAnnealingLR,,,COMPLETE
27,27,0.0,2025-01-28 19:54:52.537715,2025-01-28 19:56:35.433997,0 days 00:01:42.896282,,4,0.9636280238987059,0.9197166109468428,14,,0.4856273809482435,,0.0004067291734083761,,,Adam,5.0,fine_tuning,ReduceLROnPlateau,,,PRUNED
28,28,0.0,2025-01-28 19:56:35.451503,2025-01-28 19:58:17.320904,0 days 00:01:41.869401,,4,0.9444503053599029,0.91696977949497,13,,,0.4830568408911212,0.0017727614182540198,,,Adam,,random,StepLR,2.0,,PRUNED
29,29,0.0,2025-01-28 19:58:17.337644,2025-01-28 19:59:32.305266,0 days 00:01:14.967622,10.0,5,0.9768190046338633,0.9552522527653944,15,8.004458550675582e-06,,,0.00021149941376267639,,,Adam,,freezing,CosineAnnealingLR,,,PRUNED
30,30,0.6076364517211914,2025-01-28 19:59:32.321464,2025-01-28 20:03:20.850086,0 days 00:03:48.528622,,4,0.9421262660417676,0.9007417485098043,11,,,,0.000670869709078113,0.002634214546813028,,Adam,,fine_tuning,OneCycleLR,,,COMPLETE
31,31,0.615425169467926,2025-01-28 20:03:20.876923,2025-01-28 20:07:31.057917,0 days 00:04:10.180994,,4,0.9826837985153315,0.9415602836360987,12,,,,0.0001499989425647826,0.0007339868927428182,,Adam,,fine_tuning,OneCycleLR,,,COMPLETE
